title,engine_size,engine_type,total_kms,price,link
💥BMW 320d Sport 184hp Auto very low miles💥,2014,2.0 Diesel,"100,000 mi","€12,499",/cars-for-sale/bmw-320d-sport-184hp-auto-very-low-miles/37066733
BMW 3-Series 2014,2014,2.0 Diesel,"160,831 mi","€7,250",/cars-for-sale/bmw-3-series-2014/37631341
Car Podium  Car Sales,Independent Dealer,2016,2.0 Diesel,"€19,950",/cars-for-sale/2016-bmw-320d-auto-low-kms-m-performance-kitted/37420507
Dunshaughlin Motor Company,Independent Dealer,2015,2.0 Diesel,"€11,900",/cars-for-sale/bmw-3-series-318d-se-irish-car/36895192
Autoxpress,Independent Dealer,2015,2.0 Diesel,"€19,495",/cars-for-sale/bmw-3-series-320d-estate-automatic-/37627015
16 BMW 318 SE AUTO,2016,2.0 Diesel,"113,500 mi","€14,750",/cars-for-sale/16-bmw-318-se-auto/37345461
Autoxpress,Independent Dealer,2015,2.0 Petrol,"€21,995",/cars-for-sale/bmw-3-series-320i-gt-sport-automatic-reverse-cam/37627014
Bill Griffin Motors,Independent Dealer4.3/5,2016,1.5 Petrol,"€17,900",/cars-for-sale/bmw-3-series-1-5-se-auto-full-digital-service/37626787
BMW 320D M-Sport,2015,2.0 Diesel,"188,000 mi","€13,500",/cars-for-sale/bmw-320d-m-sport/37413950
N. Conlan & Sons Ltd,Franchise Dealer4.7/5,2014,2.0 Diesel,"€13,995",/cars-for-sale/bmw-3-series-316d-se/37336553
N2 Car Sales,Independent Dealer,2016,2.0 Diesel,"€17,950",/cars-for-sale/162-bmw-3-luxury-2-0d-auto-new-nct-top-spec/37055382
P K Motors,Franchise Dealer,2015,2.0 Diesel,"€17,800",/cars-for-sale/bmw-3-series-2015/37623495
SPOTLIGHT,2016,2.0 Petrol Plug-in Hybrid,"29,500 mi","€22,999",/cars-for-sale/bmw-330e-msport-low-miles-high-spec/37625428?campaign=3
Aaamber Motors Ltd,Independent Dealer,2016,2.0 Petrol Hybrid,"€19,995",/cars-for-sale/2016-bmw-330e-auto-white/35533090?campaign=3
Jack Martin Motors,Independent Dealer,2015,2.0 Diesel,"€14,450",/cars-for-sale/bmw-3-series-3-series-sport-new-timing-chain-75-p/37334598?campaign=3
John Linnane Motors Ltd,Franchise Dealer,2015,2.0 Diesel,"€13,995",/cars-for-sale/bmw-3-series-320d-se-touring-5dr/37506005
BMW 3-Series 2014,2014,2.0 Diesel,"136,000 km","€13,000",/cars-for-sale/bmw-3-series-2014/36964507
Autoxpress,Independent Dealer,2016,2.0 Diesel,"€17,995",/cars-for-sale/bmw-3-series-320d-automatic/37504199
Automatic Motor Car Centre,Independent Dealer,2016,2.0 Hybrid,"€19,950",/cars-for-sale/bmw-3-series-330e-i-performance-hybrid-lane-ass/36129359
