title,engine_size,engine_type,total_kms,price,link
R&G Motors,Independent Dealer,2015,2.0 Diesel,"€11,950",/cars-for-sale/2015-audi-a4-2-0tdi-quattro-s-tronic-se/36943304
SD Autos,Independent Dealer,2015,2.0 Diesel,"€13,900",/cars-for-sale/2015-audi-a4-2-0tdi-auto/36567890
Dunshaughlin Motor Company,Independent Dealer,2016,2.0 Diesel,"€15,900",/cars-for-sale/audi-a4-2-0tdi-150bhp-se-ultra-newmodel/37640144
162 Audi A4 s-line auto,2016,2.0 Diesel,"150,000 km","€20,000",/cars-for-sale/162-audi-a4-s-line-auto/37639398
"Audi A4 (S-Line Kitted, Sports Trim)",2015,2.0 Diesel,"208,200 km","€13,000",/cars-for-sale/audi-a4-s-line-kitted-sports-trim/36842208
Dunboyne Auto Link,Independent Dealer,2016,2.0 Diesel,"€16,999",/cars-for-sale/162-audi-a4-2-0tdiavantlow-kms/37638097
Conway Car Sales,Independent Dealer,2016,2.0 Diesel,€250,/cars-for-sale/audi-car-mapping-tuning-/33262664
N2 Car Sales,Independent Dealer,2015,2.0 Diesel,"€12,950",/cars-for-sale/152-audi-a4-2-0tdi-manual-low-miles-new-nct/37369011
Apex Motors,Independent Dealer,2016,2.0 Diesel,"€17,949",/cars-for-sale/audi-a4-finance-arranged-2-0-tdi-se-ultra-150ps-4/37476408
Cityview Car Sales,Independent Dealer,2015,2.0 Diesel,"€11,450",/cars-for-sale/audi-a4-2-0-tdi-technik-136ps-4dr/37635558
JMC Car Sales,Independent Dealer,2016,2.0 Diesel,"€19,995",/cars-for-sale/stunning-audi-a4-sline/37702836?campaign=3
Liam Flood Cars,Independent Dealer,2015,2.0 Diesel,"€11,750",/cars-for-sale/audi-a4-tdi-automatic-audi-history-nct-jun25/37702146?campaign=3
